Family,Order
Asteraceae,Asterales
Rosaceae,Rosales
Caryophyllaceae,Caryophyllales
Fabaceae,Fabales
Brassicaceae,Brassicales
Plantaginaceae,Lamiales
Ericaceae,Ericales
Juncaceae,Poales
Violaceae,Malpighiales
Dryopteridaceae,Polypodiales
Equisetaceae,Equisetales
Schizaeaceae,Schizaeales
Ophioglossaceae,Ophioglossales
Rubiaceae,Gentianales
Osmundaceae,Osmundales
Lycopodiaceae,Lycopodiales
Orobanchaceae,Lamiales
Lentibulariaceae,Lamiales
Ranunculaceae,Ranunculales
Haloragaceae,Saxifragales
Apiaceae,Apiales
Lobeliaceae,Asterales
Malvaceae,Malvales
Commelinaceae,Commelinales
Caesalpiniaceae,Fabales
Isoetaceae,Lycopodiales
Linaceae,Malpighiales
Athyriaceae,Polypodiales
Aspleniaceae,Polypodiales
Phrymaceae,Lamiales
Polygonaceae,Caryophyllales
Solanaceae,Solanales
Liliaceae,Liliales
Cucurbitaceae,Cucurbitales
Lauraceae,Laurales
Melanthiaceae,Liliales
Cannabaceae,Rosales
Polygalaceae,Fabales
Onagraceae,Myrtales
Asparagaceae,Asparagales
Cistaceae,Malvales
Boraginaceae,Boraginales
Saxifragaceae,Saxifragales
Orchidaceae,Asparagales
Other families,